danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.664,0.879,6,-2.98,1,0.0657,0.00145,0.841,0.147,0.456,124.011,audio_features,2K1LOy48dppX10UB3d4vkc,spotify:track:2K1LOy48dppX10UB3d4vkc,https://api.spotify.com/v1/tracks/2K1LOy48dppX10UB3d4vkc,https://api.spotify.com/v1/audio-analysis/2K1LOy48dppX10UB3d4vkc,342581,4
0.732,0.714,0,-7.432,0,0.0791,0.332,1.05e-06,0.131,0.376,121.982,audio_features,0RD27NcbftTkhb1NlxQMGR,spotify:track:0RD27NcbftTkhb1NlxQMGR,https://api.spotify.com/v1/tracks/0RD27NcbftTkhb1NlxQMGR,https://api.spotify.com/v1/audio-analysis/0RD27NcbftTkhb1NlxQMGR,151989,4
0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,audio_features,7CHi4DtfK4heMlQaudCuHK,spotify:track:7CHi4DtfK4heMlQaudCuHK,https://api.spotify.com/v1/tracks/7CHi4DtfK4heMlQaudCuHK,https://api.spotify.com/v1/audio-analysis/7CHi4DtfK4heMlQaudCuHK,168387,4
0.749,0.805,8,-6.433,0,0.326,0.14,0.0,0.329,0.889,119.993,audio_features,18TWCTjQcNDkO2iaI1wkOd,spotify:track:18TWCTjQcNDkO2iaI1wkOd,https://api.spotify.com/v1/tracks/18TWCTjQcNDkO2iaI1wkOd,https://api.spotify.com/v1/audio-analysis/18TWCTjQcNDkO2iaI1wkOd,151049,4
0.843,0.712,7,-5.002,0,0.0647,0.0121,0.0181,0.07,0.97,120.002,audio_features,3zZwwTNa27TDKUSNj2uuMc,spotify:track:3zZwwTNa27TDKUSNj2uuMc,https://api.spotify.com/v1/tracks/3zZwwTNa27TDKUSNj2uuMc,https://api.spotify.com/v1/audio-analysis/3zZwwTNa27TDKUSNj2uuMc,213246,4
0.665,0.819,4,-6.315,0,0.0397,0.0738,0.0847,0.105,0.377,125.044,audio_features,40DjjsuODwdlRZ4XFfhcwH,spotify:track:40DjjsuODwdlRZ4XFfhcwH,https://api.spotify.com/v1/tracks/40DjjsuODwdlRZ4XFfhcwH,https://api.spotify.com/v1/audio-analysis/40DjjsuODwdlRZ4XFfhcwH,188000,4
0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988,audio_features,7yHEDfrJNd0zWOfXwydNH0,spotify:track:7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/tracks/7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/audio-analysis/7yHEDfrJNd0zWOfXwydNH0,244453,4
0.731,0.917,2,-5.722,1,0.0854,0.00156,0.897,0.137,0.785,123.983,audio_features,0eQ1j5MBA9Ja7zvtB9uggC,spotify:track:0eQ1j5MBA9Ja7zvtB9uggC,https://api.spotify.com/v1/tracks/0eQ1j5MBA9Ja7zvtB9uggC,https://api.spotify.com/v1/audio-analysis/0eQ1j5MBA9Ja7zvtB9uggC,206886,4
0.845,0.79,4,-5.899,0,0.0347,0.0301,0.0587,0.0275,0.934,120.0,audio_features,1qv57tJ4VWlwBHJtkIEhVp,spotify:track:1qv57tJ4VWlwBHJtkIEhVp,https://api.spotify.com/v1/tracks/1qv57tJ4VWlwBHJtkIEhVp,https://api.spotify.com/v1/audio-analysis/1qv57tJ4VWlwBHJtkIEhVp,206067,4
0.747,0.853,3,-5.658,0,0.0574,0.0114,0.842,0.0349,0.864,122.019,audio_features,7AkdM5ErBGorSpL6JxjSBC,spotify:track:7AkdM5ErBGorSpL6JxjSBC,https://api.spotify.com/v1/tracks/7AkdM5ErBGorSpL6JxjSBC,https://api.spotify.com/v1/audio-analysis/7AkdM5ErBGorSpL6JxjSBC,382000,4
0.801,0.601,5,-6.416,0,0.0744,0.0449,0.00485,0.159,0.426,122.004,audio_features,4tTpmg8AGcChIUnuio4CtR,spotify:track:4tTpmg8AGcChIUnuio4CtR,https://api.spotify.com/v1/tracks/4tTpmg8AGcChIUnuio4CtR,https://api.spotify.com/v1/audio-analysis/4tTpmg8AGcChIUnuio4CtR,208545,4
0.846,0.875,0,-5.097,1,0.245,0.026,4.4e-05,0.0417,0.629,120.016,audio_features,46kqQ40sgkbMnaiHHQ8A8j,spotify:track:46kqQ40sgkbMnaiHHQ8A8j,https://api.spotify.com/v1/tracks/46kqQ40sgkbMnaiHHQ8A8j,https://api.spotify.com/v1/audio-analysis/46kqQ40sgkbMnaiHHQ8A8j,250020,4
0.761,0.928,7,-5.981,0,0.054,0.00259,0.757,0.0643,0.782,123.008,audio_features,3sh1idcMFBXNgk2zAJRHIf,spotify:track:3sh1idcMFBXNgk2zAJRHIf,https://api.spotify.com/v1/tracks/3sh1idcMFBXNgk2zAJRHIf,https://api.spotify.com/v1/audio-analysis/3sh1idcMFBXNgk2zAJRHIf,218537,4
0.844,0.64,1,-6.655,1,0.0651,0.0938,0.0123,0.211,0.488,121.996,audio_features,6d9UZvhiqIAmtZ6EIse1LW,spotify:track:6d9UZvhiqIAmtZ6EIse1LW,https://api.spotify.com/v1/tracks/6d9UZvhiqIAmtZ6EIse1LW,https://api.spotify.com/v1/audio-analysis/6d9UZvhiqIAmtZ6EIse1LW,428611,4
0.833,0.788,8,-5.565,1,0.0439,0.00845,0.215,0.057,0.813,123.019,audio_features,5Eo2aKJbdkUIZPyuZIqB3c,spotify:track:5Eo2aKJbdkUIZPyuZIqB3c,https://api.spotify.com/v1/tracks/5Eo2aKJbdkUIZPyuZIqB3c,https://api.spotify.com/v1/audio-analysis/5Eo2aKJbdkUIZPyuZIqB3c,206849,4
0.811,0.599,4,-8.422,0,0.0638,0.0664,0.407,0.178,0.497,123.0,audio_features,7feieBR6UkUYjgjKhlMvo9,spotify:track:7feieBR6UkUYjgjKhlMvo9,https://api.spotify.com/v1/tracks/7feieBR6UkUYjgjKhlMvo9,https://api.spotify.com/v1/audio-analysis/7feieBR6UkUYjgjKhlMvo9,230284,4
0.829,0.743,8,-9.958,1,0.0565,0.00324,0.837,0.0295,0.745,122.006,audio_features,4SWTE38RT4U9nAsMWztDOX,spotify:track:4SWTE38RT4U9nAsMWztDOX,https://api.spotify.com/v1/tracks/4SWTE38RT4U9nAsMWztDOX,https://api.spotify.com/v1/audio-analysis/4SWTE38RT4U9nAsMWztDOX,382162,4
0.637,0.979,5,-4.493,0,0.0492,0.00519,0.25,0.0771,0.476,125.981,audio_features,4AbGqz3tJMR3grq6exbJrq,spotify:track:4AbGqz3tJMR3grq6exbJrq,https://api.spotify.com/v1/tracks/4AbGqz3tJMR3grq6exbJrq,https://api.spotify.com/v1/audio-analysis/4AbGqz3tJMR3grq6exbJrq,175238,4
0.761,0.722,5,-7.555,1,0.091,0.00384,0.378,0.254,0.588,122.999,audio_features,7j5rrX5foHH8vGZqEFNwrr,spotify:track:7j5rrX5foHH8vGZqEFNwrr,https://api.spotify.com/v1/tracks/7j5rrX5foHH8vGZqEFNwrr,https://api.spotify.com/v1/audio-analysis/7j5rrX5foHH8vGZqEFNwrr,327805,4
0.75,0.928,4,-6.14,0,0.0568,0.0541,0.0494,0.325,0.421,123.003,audio_features,1AQiPKRFh93Pxp2zOmT4Zi,spotify:track:1AQiPKRFh93Pxp2zOmT4Zi,https://api.spotify.com/v1/tracks/1AQiPKRFh93Pxp2zOmT4Zi,https://api.spotify.com/v1/audio-analysis/1AQiPKRFh93Pxp2zOmT4Zi,174041,4
